student_id,academic_year,major,facility_rated,satisfaction_score,timestamp,comment,sentiment
"1001","4th Year","AIDS","Classroom","5","2025-04-07","Teaching environment is good","Positive"
"1002","2nd Year","ME","Classroom","4","2025-08-30","Projector and seating are fine","Neutral"
"1003","3rd Year","BBA","Sports","3","2025-09-22","Sports facilities are average","Negative"
"1004","4th Year","CSE","Library","2","2025-07-08","Library is sometimes noisy","Neutral"
"1005","3rd Year","BBA","Sports","3","2026-02-17","Okay sports experience","Neutral"
"1006","3rd Year","CE","Lab","1","2025-12-04","Some systems do not work","Neutral"
"1007","1st Year","CSE","Library","5","2025-06-06","Very satisfied with library environment","Positive"
"1008","4th Year","ME","Hostel","3","2025-09-08","Facilities are manageable","Neutral"
"1009","1st Year","ME","Canteen","4","2026-01-30","Food quality is good","Positive"
"1010","4th Year","AIDS","Sports","1","2025-06-30","Facilities need improvement","Negative"
"1011","2nd Year","CE","Library","5","2025-04-20","Books are easily available","Neutral"
"1012","2nd Year","ME","Sports","1","2025-12-25","Facilities need improvement","Negative"
"1013","2nd Year","CE","Sports","2","2025-10-14","Sports equipment is limited","Neutral"
"1014","1st Year","AIDS","Hostel","2","2025-02-03","Water supply has issues","Neutral"
"1015","1st Year","CE","Hostel","3","2026-02-21","Facilities are manageable","Neutral"
"1016","2nd Year","BBA","Hostel","4","2025-04-01","Hostel maintenance is good","Positive"
"1017","1st Year","BBA","Library","1","2025-05-21","Library needs more books","Neutral"
"1018","3rd Year","ME","Lab","3","2026-02-19","Average lab experience","Negative"
"1019","1st Year","BBA","Transport","2","2025-03-02","Need more buses","Neutral"
"1020","3rd Year","ECE","Library","1","2026-02-11","Need improvement in library timing","Negative"
"1021","3rd Year","CSE","Hostel","2","2025-06-04","Rooms are crowded","Negative"
"1022","2nd Year","AIDS","Classroom","5","2026-03-17","Classroom atmosphere is positive","Neutral"
"1023","2nd Year","BBA","Hostel","1","2025-10-20","Hostel cleanliness is average","Neutral"
"1024","2nd Year","BBA","Canteen","1","2025-04-25","Canteen is crowded","Negative"
"1025","3rd Year","AIDS","Classroom","1","2026-03-30","Rooms need better ventilation","Neutral"
"1026","1st Year","BBA","Classroom","5","2026-01-31","Classrooms are clean and comfortable","Positive"
"1027","2nd Year","ME","Canteen","1","2025-10-07","Canteen is crowded","Negative"
"1028","3rd Year","BBA","Lab","4","2025-04-06","Systems work properly","Neutral"
"1029","2nd Year","CE","Sports","1","2025-05-02","Facilities need improvement","Negative"
"1030","1st Year","AIDS","Classroom","3","2025-02-01","Facilities are manageable","Neutral"
"1031","1st Year","CSE","Library","3","2026-01-05","Library is okay overall","Neutral"
"1032","3rd Year","ECE","Lab","1","2025-08-18","Lab equipment needs upgrade","Neutral"
"1033","4th Year","CSE","Classroom","3","2025-07-15","Classroom is okay","Neutral"
"1034","2nd Year","ECE","Sports","4","2025-02-18","Sports facilities are good","Positive"
"1035","3rd Year","BBA","Transport","3","2025-07-16","Transport is average","Negative"
"1036","2nd Year","AIDS","Library","1","2026-02-20","Issue with book availability","Neutral"
"1037","3rd Year","ECE","Library","4","2025-10-07","Library is clean and useful","Positive"
"1038","3rd Year","BBA","Sports","2","2026-01-18","Facilities need improvement","Negative"
"1039","4th Year","ME","Sports","2","2025-10-30","Practice timing is not managed well","Neutral"
"1040","2nd Year","CSE","Lab","1","2025-05-31","Lab equipment needs upgrade","Neutral"
"1041","3rd Year","CE","Sports","1","2025-06-13","Practice timing is not managed well","Neutral"
"1042","2nd Year","ME","Hostel","5","2025-08-25","Satisfied with hostel services","Positive"
"1043","4th Year","AIDS","Library","2","2025-08-09","Library seating is limited","Neutral"
"1044","2nd Year","ME","Lab","2","2026-01-10","Lab equipment needs upgrade","Neutral"
"1045","4th Year","ME","Canteen","1","2025-09-22","Need improvement in hygiene","Negative"
"1046","2nd Year","ME","Library","2","2025-03-13","Library seating is limited","Neutral"
"1047","2nd Year","ME","Lab","3","2025-02-16","Average lab experience","Negative"
"1048","3rd Year","ECE","Hostel","1","2026-03-24","Maintenance is poor","Negative"
"1049","1st Year","ME","Library","1","2025-05-19","Library seating is limited","Neutral"
"1050","3rd Year","CSE","Sports","5","2025-11-16","Coaching support is helpful","Positive"
"1051","3rd Year","AIDS","Canteen","5","2026-01-22","Canteen is clean and spacious","Positive"
"1052","1st Year","AIDS","Lab","1","2025-03-18","Need improvement in practical support","Negative"
"1053","1st Year","AIDS","Transport","3","2025-02-02","Average transport experience","Negative"
"1054","2nd Year","AIDS","Library","4","2025-03-17","Very satisfied with library environment","Positive"
"1055","4th Year","CSE","Canteen","3","2025-03-23","Food is average","Negative"
"1056","3rd Year","CE","Transport","3","2025-09-07","Transport is average","Negative"
"1057","4th Year","AIDS","Transport","1","2026-03-27","Need more buses","Neutral"
"1058","3rd Year","CE","Lab","4","2025-06-16","Lab sessions are very helpful","Positive"
"1059","1st Year","CSE","Sports","5","2025-06-03","Sports environment is motivating","Neutral"
"1060","2nd Year","CE","Library","4","2025-03-10","Books are easily available","Neutral"
"1061","1st Year","ME","Canteen","4","2025-06-20","Service is fast and helpful","Positive"
"1062","2nd Year","CE","Transport","5","2025-02-27","Buses are mostly on time","Positive"
"1063","2nd Year","CSE","Canteen","5","2025-08-17","Service is fast and helpful","Positive"
"1064","1st Year","ME","Lab","4","2025-10-16","Lab equipment is good","Positive"
"1065","1st Year","ECE","Sports","5","2025-05-04","Ground is well maintained","Neutral"
"1066","3rd Year","CSE","Sports","3","2025-08-08","Facilities are manageable","Neutral"
"1067","1st Year","CE","Sports","2","2025-07-19","Practice timing is not managed well","Neutral"
"1068","3rd Year","CSE","Library","3","2026-01-15","Library is average","Negative"
"1069","3rd Year","CE","Hostel","5","2025-04-29","Satisfied with hostel services","Positive"
"1070","1st Year","CE","Library","5","2025-06-03","Library is clean and useful","Positive"
"1071","4th Year","ME","Canteen","1","2025-01-23","Canteen is crowded","Negative"
"1072","4th Year","CE","Canteen","3","2025-09-14","Average experience in canteen","Negative"
"1073","2nd Year","CSE","Classroom","1","2025-03-22","Projector issues happen often","Neutral"
"1074","1st Year","ME","Canteen","4","2025-04-03","Canteen is clean and spacious","Positive"
"1075","3rd Year","ME","Sports","3","2025-04-16","Facilities are manageable","Neutral"
"1076","4th Year","AIDS","Sports","4","2025-06-29","Sports environment is motivating","Neutral"
"1077","1st Year","AIDS","Classroom","5","2025-07-06","Satisfied with classroom facilities","Positive"
"1078","3rd Year","CE","Transport","2","2025-05-10","Transport service is average","Negative"
"1079","1st Year","AIDS","Classroom","4","2026-01-06","Projector and seating are fine","Neutral"
"1080","1st Year","ECE","Canteen","5","2025-05-02","Snacks are fresh and tasty","Neutral"
"1081","2nd Year","CE","Transport","2","2025-03-11","Delay causes problems","Negative"
"1082","2nd Year","BBA","Canteen","2","2025-04-17","Canteen is crowded","Negative"
"1083","2nd Year","BBA","Lab","4","2025-08-28","Lab equipment is good","Positive"
"1084","1st Year","CSE","Library","4","2025-04-08","Very satisfied with library environment","Positive"
"1085","4th Year","CE","Lab","2","2025-09-07","Internet is slow in lab","Negative"
"1086","3rd Year","BBA","Lab","2","2025-05-05","Lab equipment needs upgrade","Neutral"
"1087","3rd Year","ME","Hostel","5","2025-07-25","Hostel maintenance is good","Positive"
"1088","1st Year","AIDS","Hostel","3","2026-02-02","Hostel experience is okay","Neutral"
"1089","2nd Year","CE","Lab","4","2025-09-16","Systems work properly","Neutral"
"1090","2nd Year","ECE","Transport","1","2025-08-23","Delay causes problems","Negative"
"1091","2nd Year","CSE","Lab","1","2025-07-16","Some systems do not work","Neutral"
"1092","1st Year","BBA","Transport","4","2025-10-07","Bus staff is cooperative","Neutral"
"1093","4th Year","CE","Classroom","4","2026-02-22","Classroom atmosphere is positive","Neutral"
"1094","4th Year","AIDS","Canteen","1","2025-12-02","Canteen food quality is poor","Negative"
"1095","4th Year","CSE","Canteen","5","2025-09-28","Food quality is good","Positive"
"1096","3rd Year","CSE","Classroom","4","2025-01-01","Projector and seating are fine","Neutral"
"1097","3rd Year","ME","Sports","3","2025-05-21","Facilities are manageable","Neutral"
"1098","3rd Year","BBA","Classroom","3","2025-10-29","Average classroom experience","Negative"
"1099","4th Year","ME","Lab","4","2025-01-24","Practical learning is effective","Neutral"
"1100","1st Year","BBA","Library","2","2025-10-15","Library seating is limited","Neutral"
"1101","1st Year","BBA","Transport","3","2025-05-17","Bus service is okay","Neutral"
"1102","3rd Year","ME","Sports","5","2025-03-12","Coaching support is helpful","Positive"
